mut,rec,seqLen,dualInf,rep,frag_type,seq_names,sim_pval,BC_KA_pval,aligned_start,aligned_end,aligned_length,seq1_begin,seq1_end,seq1_length,seq2_begin,seq2_end,seq2_length,num_poly,num_dif,total_diffs,mismatch_penalty,
0.001,0.000001,1000,0.05,2,GI,seq_209;seq_661,0,1.15E-06,689,1680,992,689,1680,992,689,1680,992,794,0,52,None,"
"
0.001,0.000001,1000,0.05,2,GI,seq_661;seq_935,0,1.15E-06,689,1680,992,689,1680,992,689,1680,992,794,0,52,None,"
"
0.001,0.000001,1000,0.05,2,GI,seq_128;seq_746,0,1.21E-06,709,1680,972,709,1680,972,709,1680,972,778,0,53,None,"
"
0.001,0.000001,1000,0.05,2,GI,seq_86;seq_976,0,1.36E-06,687,1645,959,687,1645,959,687,1645,959,775,0,53,None,"
"
0.001,0.000001,1000,0.05,2,GI,seq_342;seq_976,0,1.36E-06,687,1645,959,687,1645,959,687,1645,959,775,0,53,None,"
"
0.001,0.000001,1000,0.05,2,GI,seq_619;seq_661,0,1.41E-06,729,1680,952,729,1680,952,729,1680,952,760,0,54,None,"
"
0.001,0.000001,1000,0.05,2,GI,seq_75;seq_128,0,1.47E-06,715,1680,966,715,1680,966,715,1680,966,773,0,53,None,"
"
0.001,0.000001,1000,0.05,2,GI,seq_15;seq_86,0,1.91E-06,687,1680,994,687,1680,994,687,1680,994,796,0,51,None,"
"
0.001,0.000001,1000,0.05,2,GI,seq_15;seq_342,0,1.91E-06,687,1680,994,687,1680,994,687,1680,994,796,0,51,None,"
"
0.001,0.000001,1000,0.05,2,GI,seq_86;seq_301,0,1.91E-06,687,1680,994,687,1680,994,687,1680,994,796,0,51,None,"
"
0.001,0.000001,1000,0.05,2,GI,seq_86;seq_399,0,1.91E-06,687,1680,994,687,1680,994,687,1680,994,796,0,51,None,"
"
0.001,0.000001,1000,0.05,2,GI,seq_86;seq_434,0,1.91E-06,687,1680,994,687,1680,994,687,1680,994,796,0,51,None,"
"
0.001,0.000001,1000,0.05,2,GI,seq_86;seq_638,0,1.91E-06,687,1680,994,687,1680,994,687,1680,994,796,0,51,None,"
"
0.001,0.000001,1000,0.05,2,GI,seq_86;seq_761,0,1.91E-06,687,1680,994,687,1680,994,687,1680,994,796,0,51,None,"
"
0.001,0.000001,1000,0.05,2,GI,seq_86;seq_825,0,1.91E-06,687,1680,994,687,1680,994,687,1680,994,796,0,51,None,"
"
0.001,0.000001,1000,0.05,2,GI,seq_301;seq_342,0,1.91E-06,687,1680,994,687,1680,994,687,1680,994,796,0,51,None,"
"
0.001,0.000001,1000,0.05,2,GI,seq_342;seq_399,0,1.91E-06,687,1680,994,687,1680,994,687,1680,994,796,0,51,None,"
"
0.001,0.000001,1000,0.05,2,GI,seq_342;seq_434,0,1.91E-06,687,1680,994,687,1680,994,687,1680,994,796,0,51,None,"
"
0.001,0.000001,1000,0.05,2,GI,seq_342;seq_638,0,1.91E-06,687,1680,994,687,1680,994,687,1680,994,796,0,51,None,"
"
0.001,0.000001,1000,0.05,2,GI,seq_342;seq_761,0,1.91E-06,687,1680,994,687,1680,994,687,1680,994,796,0,51,None,"
"
0.001,0.000001,1000,0.05,2,GI,seq_342;seq_825,0,1.91E-06,687,1680,994,687,1680,994,687,1680,994,796,0,51,None,"
"
0.001,0.000001,1000,0.05,2,GI,seq_949;seq_960,0,1.98E-06,687,1651,965,687,1651,965,687,1651,965,780,0,52,None,"
"
0.001,0.000001,1000,0.05,2,GI,seq_128;seq_260,0,1.99E-06,688,1680,993,688,1680,993,688,1680,993,795,0,51,None,"
"
0.001,0.000001,1000,0.05,2,GI,seq_128;seq_537,0,1.99E-06,688,1680,993,688,1680,993,688,1680,993,795,0,51,None,"
"
0.001,0.000001,1000,0.05,2,GI,seq_128;seq_666,0,1.99E-06,688,1680,993,688,1680,993,688,1680,993,795,0,51,None,"
"
0.001,0.000001,1000,0.05,2,GI,seq_128;seq_948,0,1.99E-06,688,1680,993,688,1680,993,688,1680,993,795,0,51,None,"
"
0.001,0.000001,1000,0.05,2,GI,seq_86;seq_309,0,2.06E-06,688,1679,992,688,1679,992,688,1679,992,794,0,51,None,"
"
0.001,0.000001,1000,0.05,2,GI,seq_253;seq_309,0,2.06E-06,688,1679,992,688,1679,992,688,1679,992,794,0,51,None,"
"
0.001,0.000001,1000,0.05,2,GI,seq_309;seq_342,0,2.06E-06,688,1679,992,688,1679,992,688,1679,992,794,0,51,None,"
"
0.001,0.000001,1000,0.05,2,GI,seq_88;seq_766,0,2.06E-06,689,1680,992,689,1680,992,689,1680,992,794,0,51,None,"
"
0.001,0.000001,1000,0.05,2,GI,seq_88;seq_935,0,2.06E-06,689,1680,992,689,1680,992,689,1680,992,794,0,51,None,"
"
0.001,0.000001,1000,0.05,2,GI,seq_104;seq_209,0,2.06E-06,689,1680,992,689,1680,992,689,1680,992,794,0,51,None,"
"
0.001,0.000001,1000,0.05,2,GI,seq_209;seq_757,0,2.06E-06,689,1680,992,689,1680,992,689,1680,992,794,0,51,None,"
"
0.001,0.000001,1000,0.05,2,GI,seq_209;seq_826,0,2.06E-06,689,1680,992,689,1680,992,689,1680,992,794,0,51,None,"
"
0.001,0.000001,1000,0.05,2,GI,seq_522;seq_661,0,2.06E-06,689,1680,992,689,1680,992,689,1680,992,794,0,51,None,"
"
0.001,0.000001,1000,0.05,2,GI,seq_661;seq_766,0,2.06E-06,689,1680,992,689,1680,992,689,1680,992,794,0,51,None,"
"
0.001,0.000001,1000,0.05,2,GI,seq_661;seq_931,0,2.06E-06,689,1680,992,689,1680,992,689,1680,992,794,0,51,None,"
"
0.001,0.000001,1000,0.05,2,GI,seq_766;seq_805,0,2.06E-06,689,1680,992,689,1680,992,689,1680,992,794,0,51,None,"
"
0.001,0.000001,1000,0.05,2,GI,seq_766;seq_908,0,2.06E-06,689,1680,992,689,1680,992,689,1680,992,794,0,51,None,"
"
0.001,0.000001,1000,0.05,2,GI,seq_805;seq_935,0,2.06E-06,689,1680,992,689,1680,992,689,1680,992,794,0,51,None,"
"
0.001,0.000001,1000,0.05,2,GI,seq_908;seq_935,0,2.06E-06,689,1680,992,689,1680,992,689,1680,992,794,0,51,None,"
"
0.001,0.000001,1000,0.05,2,GI,seq_86;seq_746,0,2.14E-06,709,1680,972,709,1680,972,709,1680,972,778,0,52,None,"
"
0.001,0.000001,1000,0.05,2,GI,seq_342;seq_746,0,2.14E-06,709,1680,972,709,1680,972,709,1680,972,778,0,52,None,"
"
0.001,0.000001,1000,0.05,2,GI,seq_209;seq_277,0,2.24E-06,722,1632,911,722,1632,911,722,1632,911,735,0,55,None,"
"
0.001,0.000001,1000,0.05,2,GI,seq_128;seq_218,0,2.31E-06,711,1680,970,711,1680,970,711,1680,970,776,0,52,None,"
"
0.001,0.000001,1000,0.05,2,GI,seq_949;seq_976,0,2.40E-06,687,1645,959,687,1645,959,687,1645,959,775,0,52,None,"
"
0.001,0.000001,1000,0.05,2,GI,seq_88;seq_619,0,2.46E-06,729,1680,952,729,1680,952,729,1680,952,760,0,53,None,"
"
0.001,0.000001,1000,0.05,2,GI,seq_619;seq_805,0,2.46E-06,729,1680,952,729,1680,952,729,1680,952,760,0,53,None,"
"
0.001,0.000001,1000,0.05,2,GI,seq_619;seq_908,0,2.46E-06,729,1680,952,729,1680,952,729,1680,952,760,0,53,None,"
"
0.001,0.000001,1000,0.05,2,GI,seq_605;seq_661,0,2.59E-06,689,1670,982,689,1670,982,689,1670,982,788,0,51,None,"
"
0.001,0.000001,1000,0.05,2,GI,seq_75;seq_86,0,2.60E-06,715,1680,966,715,1680,966,715,1680,966,773,0,52,None,"
"
0.001,0.000001,1000,0.05,2,GI,seq_75;seq_253,0,2.60E-06,715,1680,966,715,1680,966,715,1680,966,773,0,52,None,"
"
0.001,0.000001,1000,0.05,2,GI,seq_75;seq_342,0,2.60E-06,715,1680,966,715,1680,966,715,1680,966,773,0,52,None,"
"
0.001,0.000001,1000,0.05,2,GI,seq_661;seq_900,0,2.92E-06,689,1642,954,689,1642,954,689,1642,954,770,0,52,None,"
"
0.001,0.000001,1000,0.05,2,GI,seq_104;seq_935,0,3.18E-06,685,1680,996,685,1680,996,685,1680,996,798,0,50,None,"
"
0.001,0.000001,1000,0.05,2,GI,seq_128;seq_768,0,3.18E-06,685,1680,996,685,1680,996,685,1680,996,798,0,50,None,"
"
0.001,0.000001,1000,0.05,2,GI,seq_757;seq_935,0,3.18E-06,685,1680,996,685,1680,996,685,1680,996,798,0,50,None,"
"
0.001,0.000001,1000,0.05,2,GI,seq_661;seq_902,0,3.30E-06,686,1680,995,686,1680,995,686,1680,995,797,0,50,None,"
"
0.001,0.000001,1000,0.05,2,GI,seq_68;seq_661,0,3.40E-06,789,1680,892,789,1680,892,789,1680,892,712,0,56,None,"
"
0.001,0.000001,1000,0.05,2,GI,seq_15;seq_949,0,3.43E-06,687,1680,994,687,1680,994,687,1680,994,796,0,50,None,"
"
0.001,0.000001,1000,0.05,2,GI,seq_60;seq_300,0,3.43E-06,687,1680,994,687,1680,994,687,1680,994,796,0,50,None,"
"
0.001,0.000001,1000,0.05,2,GI,seq_86;seq_260,0,3.43E-06,687,1680,994,687,1680,994,687,1680,994,796,0,50,None,"
"
0.001,0.000001,1000,0.05,2,GI,seq_86;seq_537,0,3.43E-06,687,1680,994,687,1680,994,687,1680,994,796,0,50,None,"
"
0.001,0.000001,1000,0.05,2,GI,seq_86;seq_666,0,3.43E-06,687,1680,994,687,1680,994,687,1680,994,796,0,50,None,"
"
0.001,0.000001,1000,0.05,2,GI,seq_86;seq_948,0,3.43E-06,687,1680,994,687,1680,994,687,1680,994,796,0,50,None,"
"
0.001,0.000001,1000,0.05,2,GI,seq_142;seq_200,0,3.43E-06,687,1680,994,687,1680,994,687,1680,994,796,0,50,None,"
"
0.001,0.000001,1000,0.05,2,GI,seq_200;seq_253,0,3.43E-06,687,1680,994,687,1680,994,687,1680,994,796,0,50,None,"
"
0.001,0.000001,1000,0.05,2,GI,seq_200;seq_503,0,3.43E-06,687,1680,994,687,1680,994,687,1680,994,796,0,50,None,"
"
0.001,0.000001,1000,0.05,2,GI,seq_260;seq_342,0,3.43E-06,687,1680,994,687,1680,994,687,1680,994,796,0,50,None,"
"
0.001,0.000001,1000,0.05,2,GI,seq_301;seq_949,0,3.43E-06,687,1680,994,687,1680,994,687,1680,994,796,0,50,None,"
"
0.001,0.000001,1000,0.05,2,GI,seq_342;seq_537,0,3.43E-06,687,1680,994,687,1680,994,687,1680,994,796,0,50,None,"
"
0.001,0.000001,1000,0.05,2,GI,seq_342;seq_666,0,3.43E-06,687,1680,994,687,1680,994,687,1680,994,796,0,50,None,"
"
0.001,0.000001,1000,0.05,2,GI,seq_342;seq_948,0,3.43E-06,687,1680,994,687,1680,994,687,1680,994,796,0,50,None,"
"
0.001,0.000001,1000,0.05,2,GI,seq_399;seq_949,0,3.43E-06,687,1680,994,687,1680,994,687,1680,994,796,0,50,None,"
"
0.001,0.000001,1000,0.05,2,GI,seq_434;seq_949,0,3.43E-06,687,1680,994,687,1680,994,687,1680,994,796,0,50,None,"
"
0.001,0.000001,1000,0.05,2,GI,seq_638;seq_949,0,3.43E-06,687,1680,994,687,1680,994,687,1680,994,796,0,50,None,"
"
0.001,0.000001,1000,0.05,2,GI,seq_761;seq_949,0,3.43E-06,687,1680,994,687,1680,994,687,1680,994,796,0,50,None,"
"
0.001,0.000001,1000,0.05,2,GI,seq_825;seq_949,0,3.43E-06,687,1680,994,687,1680,994,687,1680,994,796,0,50,None,"
"
0.001,0.000001,1000,0.05,2,GI,seq_128;seq_522,0,3.56E-06,688,1680,993,688,1680,993,688,1680,993,795,0,50,None,"
"
0.001,0.000001,1000,0.05,2,GI,seq_128;seq_931,0,3.56E-06,688,1680,993,688,1680,993,688,1680,993,795,0,50,None,"
"
0.001,0.000001,1000,0.05,2,GI,seq_309;seq_757,0,3.69E-06,688,1679,992,688,1679,992,688,1679,992,794,0,50,None,"
"
0.001,0.000001,1000,0.05,2,GI,seq_309;seq_949,0,3.69E-06,688,1679,992,688,1679,992,688,1679,992,794,0,50,None,"
"
0.001,0.000001,1000,0.05,2,GI,seq_309;seq_986,0,3.69E-06,688,1679,992,688,1679,992,688,1679,992,794,0,50,None,"
"
0.001,0.000001,1000,0.05,2,GI,seq_661;seq_707,0,3.69E-06,689,1680,992,689,1680,992,689,1680,992,794,0,50,None,"
"
0.001,0.000001,1000,0.05,2,GI,seq_661;seq_977,0,3.69E-06,689,1680,992,689,1680,992,689,1680,992,794,0,50,None,"
"
0.001,0.000001,1000,0.05,2,GI,seq_738;seq_766,0,3.69E-06,689,1680,992,689,1680,992,689,1680,992,794,0,50,None,"
"
0.001,0.000001,1000,0.05,2,GI,seq_738;seq_935,0,3.69E-06,689,1680,992,689,1680,992,689,1680,992,794,0,50,None,"
"
0.001,0.000001,1000,0.05,2,GI,seq_746;seq_949,0,3.79E-06,709,1680,972,709,1680,972,709,1680,972,778,0,51,None,"
"
0.001,0.000001,1000,0.05,2,GI,seq_309;seq_661,0,3.83E-06,689,1679,991,689,1679,991,689,1679,991,793,0,50,None,"
"
0.001,0.000001,1000,0.05,2,GI,seq_209;seq_650,0,3.98E-06,691,1680,990,691,1680,990,691,1680,990,792,0,50,None,"
"
0.001,0.000001,1000,0.05,2,GI,seq_86;seq_218,0,4.09E-06,711,1680,970,711,1680,970,711,1680,970,776,0,51,None,"
"
0.001,0.000001,1000,0.05,2,GI,seq_218;seq_253,0,4.09E-06,711,1680,970,711,1680,970,711,1680,970,776,0,51,None,"
"
0.001,0.000001,1000,0.05,2,GI,seq_218;seq_342,0,4.09E-06,711,1680,970,711,1680,970,711,1680,970,776,0,51,None,"
"
0.001,0.000001,1000,0.05,2,GI,seq_128;seq_300,0,4.14E-06,780,1680,901,780,1680,901,780,1680,901,720,0,55,None,"
"
0.001,0.000001,1000,0.05,2,GI,seq_104;seq_619,0,4.30E-06,729,1680,952,729,1680,952,729,1680,952,760,0,52,None,"
"
0.001,0.000001,1000,0.05,2,GI,seq_619;seq_738,0,4.30E-06,729,1680,952,729,1680,952,729,1680,952,760,0,52,None,"
"
0.001,0.000001,1000,0.05,2,GI,seq_619;seq_757,0,4.30E-06,729,1680,952,729,1680,952,729,1680,952,760,0,52,None,"
"
0.001,0.000001,1000,0.05,2,GI,seq_128;seq_605,0,4.45E-06,688,1670,983,688,1670,983,688,1670,983,789,0,50,None,"
"
0.001,0.000001,1000,0.05,2,GI,seq_75;seq_661,0,4.58E-06,715,1680,966,715,1680,966,715,1680,966,773,0,51,None,"
"
0.001,0.000001,1000,0.05,2,GI,seq_75;seq_757,0,4.58E-06,715,1680,966,715,1680,966,715,1680,966,773,0,51,None,"
"
0.001,0.000001,1000,0.05,2,GI,seq_75;seq_949,0,4.58E-06,715,1680,966,715,1680,966,715,1680,966,773,0,51,None,"
"
0.001,0.000001,1000,0.05,2,GI,seq_75;seq_986,0,4.58E-06,715,1680,966,715,1680,966,715,1680,966,773,0,51,None,"
"
0.001,0.000001,1000,0.05,2,GI,seq_88;seq_900,0,5.13E-06,689,1642,954,689,1642,954,689,1642,954,770,0,51,None,"
"
0.001,0.000001,1000,0.05,2,GI,seq_805;seq_900,0,5.13E-06,689,1642,954,689,1642,954,689,1642,954,770,0,51,None,"
"
0.001,0.000001,1000,0.05,2,GI,seq_900;seq_908,0,5.13E-06,689,1642,954,689,1642,954,689,1642,954,770,0,51,None,"
"
0.001,0.000001,1000,0.05,2,GI,seq_128;seq_901,0,5.33E-06,685,1635,951,685,1635,951,685,1635,951,769,0,51,None,"
"
0.001,0.000001,1000,0.05,2,GI,seq_187;seq_209,0,5.36E-06,702,1680,979,702,1680,979,702,1680,979,784,0,50,None,"
"
0.001,0.000001,1000,0.05,2,GI,seq_104;seq_238,0,5.42E-06,736,1680,945,736,1680,945,736,1680,945,754,0,52,None,"
"
0.001,0.000001,1000,0.05,2,GI,seq_238;seq_661,0,5.42E-06,736,1680,945,736,1680,945,736,1680,945,754,0,52,None,"
"
0.001,0.000001,1000,0.05,2,GI,seq_238;seq_757,0,5.42E-06,736,1680,945,736,1680,945,736,1680,945,754,0,52,None,"
"
0.001,0.000001,1000,0.05,2,GI,seq_209;seq_930,0,5.56E-06,703,1680,978,703,1680,978,703,1680,978,783,0,50,None,"
"
0.001,0.000001,1000,0.05,2,GI,seq_88;seq_902,0,5.71E-06,685,1680,996,685,1680,996,685,1680,996,798,0,49,None,"
"
0.001,0.000001,1000,0.05,2,GI,seq_104;seq_287,0,5.71E-06,685,1680,996,685,1680,996,685,1680,996,798,0,49,None,"
"
0.001,0.000001,1000,0.05,2,GI,seq_104;seq_522,0,5.71E-06,685,1680,996,685,1680,996,685,1680,996,798,0,49,None,"
"
0.001,0.000001,1000,0.05,2,GI,seq_287;seq_757,0,5.71E-06,685,1680,996,685,1680,996,685,1680,996,798,0,49,None,"
"
0.001,0.000001,1000,0.05,2,GI,seq_362;seq_766,0,5.71E-06,685,1680,996,685,1680,996,685,1680,996,798,0,49,None,"
"
0.001,0.000001,1000,0.05,2,GI,seq_362;seq_935,0,5.71E-06,685,1680,996,685,1680,996,685,1680,996,798,0,49,None,"
"
0.001,0.000001,1000,0.05,2,GI,seq_405;seq_766,0,5.71E-06,685,1680,996,685,1680,996,685,1680,996,798,0,49,None,"
"
0.001,0.000001,1000,0.05,2,GI,seq_405;seq_935,0,5.71E-06,685,1680,996,685,1680,996,685,1680,996,798,0,49,None,"
"
0.001,0.000001,1000,0.05,2,GI,seq_522;seq_757,0,5.71E-06,685,1680,996,685,1680,996,685,1680,996,798,0,49,None,"
"
0.001,0.000001,1000,0.05,2,GI,seq_86;seq_931,0,6.14E-06,687,1680,994,687,1680,994,687,1680,994,796,0,49,None,"
"
0.001,0.000001,1000,0.05,2,GI,seq_142;seq_434,0,6.14E-06,687,1680,994,687,1680,994,687,1680,994,796,0,49,None,"
"
0.001,0.000001,1000,0.05,2,GI,seq_142;seq_526,0,6.14E-06,687,1680,994,687,1680,994,687,1680,994,796,0,49,None,"
"
0.001,0.000001,1000,0.05,2,GI,seq_142;seq_732,0,6.14E-06,687,1680,994,687,1680,994,687,1680,994,796,0,49,None,"
"
0.001,0.000001,1000,0.05,2,GI,seq_142;seq_920,0,6.14E-06,687,1680,994,687,1680,994,687,1680,994,796,0,49,None,"
"
0.001,0.000001,1000,0.05,2,GI,seq_200;seq_422,0,6.14E-06,687,1680,994,687,1680,994,687,1680,994,796,0,49,None,"
"
0.001,0.000001,1000,0.05,2,GI,seq_200;seq_431,0,6.14E-06,687,1680,994,687,1680,994,687,1680,994,796,0,49,None,"
"
0.001,0.000001,1000,0.05,2,GI,seq_200;seq_748,0,6.14E-06,687,1680,994,687,1680,994,687,1680,994,796,0,49,None,"
"
0.001,0.000001,1000,0.05,2,GI,seq_200;seq_986,0,6.14E-06,687,1680,994,687,1680,994,687,1680,994,796,0,49,None,"
"
0.001,0.000001,1000,0.05,2,GI,seq_253;seq_434,0,6.14E-06,687,1680,994,687,1680,994,687,1680,994,796,0,49,None,"
"
0.001,0.000001,1000,0.05,2,GI,seq_253;seq_526,0,6.14E-06,687,1680,994,687,1680,994,687,1680,994,796,0,49,None,"
"
0.001,0.000001,1000,0.05,2,GI,seq_253;seq_732,0,6.14E-06,687,1680,994,687,1680,994,687,1680,994,796,0,49,None,"
"
0.001,0.000001,1000,0.05,2,GI,seq_253;seq_920,0,6.14E-06,687,1680,994,687,1680,994,687,1680,994,796,0,49,None,"
"
0.001,0.000001,1000,0.05,2,GI,seq_260;seq_949,0,6.14E-06,687,1680,994,687,1680,994,687,1680,994,796,0,49,None,"
"
0.001,0.000001,1000,0.05,2,GI,seq_342;seq_931,0,6.14E-06,687,1680,994,687,1680,994,687,1680,994,796,0,49,None,"
"
0.001,0.000001,1000,0.05,2,GI,seq_399;seq_503,0,6.14E-06,687,1680,994,687,1680,994,687,1680,994,796,0,49,None,"
"
0.001,0.000001,1000,0.05,2,GI,seq_434;seq_503,0,6.14E-06,687,1680,994,687,1680,994,687,1680,994,796,0,49,None,"
"
0.001,0.000001,1000,0.05,2,GI,seq_503;seq_526,0,6.14E-06,687,1680,994,687,1680,994,687,1680,994,796,0,49,None,"
"
0.001,0.000001,1000,0.05,2,GI,seq_503;seq_732,0,6.14E-06,687,1680,994,687,1680,994,687,1680,994,796,0,49,None,"
"
0.001,0.000001,1000,0.05,2,GI,seq_503;seq_920,0,6.14E-06,687,1680,994,687,1680,994,687,1680,994,796,0,49,None,"
"
0.001,0.000001,1000,0.05,2,GI,seq_537;seq_949,0,6.14E-06,687,1680,994,687,1680,994,687,1680,994,796,0,49,None,"
"
0.001,0.000001,1000,0.05,2,GI,seq_666;seq_949,0,6.14E-06,687,1680,994,687,1680,994,687,1680,994,796,0,49,None,"
"
0.001,0.000001,1000,0.05,2,GI,seq_948;seq_949,0,6.14E-06,687,1680,994,687,1680,994,687,1680,994,796,0,49,None,"
"
0.001,0.000001,1000,0.05,2,GI,seq_17;seq_661,0,6.37E-06,688,1680,993,688,1680,993,688,1680,993,795,0,49,None,"
"
0.001,0.000001,1000,0.05,2,GI,seq_86;seq_707,0,6.37E-06,688,1680,993,688,1680,993,688,1680,993,795,0,49,None,"
"
0.001,0.000001,1000,0.05,2,GI,seq_86;seq_768,0,6.37E-06,688,1680,993,688,1680,993,688,1680,993,795,0,49,None,"
"
0.001,0.000001,1000,0.05,2,GI,seq_253;seq_768,0,6.37E-06,688,1680,993,688,1680,993,688,1680,993,795,0,49,None,"
"
0.001,0.000001,1000,0.05,2,GI,seq_342;seq_707,0,6.37E-06,688,1680,993,688,1680,993,688,1680,993,795,0,49,None,"
"
0.001,0.000001,1000,0.05,2,GI,seq_342;seq_768,0,6.37E-06,688,1680,993,688,1680,993,688,1680,993,795,0,49,None,"
"
0.001,0.000001,1000,0.05,2,GI,seq_75;seq_277,0,6.60E-06,722,1632,911,722,1632,911,722,1632,911,735,0,53,None,"
"
0.001,0.000001,1000,0.05,2,GI,seq_277;seq_820,0,6.60E-06,722,1632,911,722,1632,911,722,1632,911,735,0,53,None,"
"
0.001,0.000001,1000,0.05,2,GI,seq_49;seq_309,0,6.61E-06,688,1679,992,688,1679,992,688,1679,992,794,0,49,None,"
"
0.001,0.000001,1000,0.05,2,GI,seq_104;seq_309,0,6.61E-06,688,1679,992,688,1679,992,688,1679,992,794,0,49,None,"
"
0.001,0.000001,1000,0.05,2,GI,seq_309;seq_362,0,6.61E-06,688,1679,992,688,1679,992,688,1679,992,794,0,49,None,"
"
